sku_id,forecast_date,forecast_units,model
SKU001,21-12-2025,110,seasonal_naive
SKU001,28-12-2025,110,seasonal_naive
SKU001,04-01-2026,110,seasonal_naive
SKU001,11-01-2026,110,seasonal_naive
SKU002,21-12-2025,154,seasonal_naive
SKU002,28-12-2025,154,seasonal_naive
SKU002,04-01-2026,154,seasonal_naive
SKU002,11-01-2026,154,seasonal_naive
SKU003,21-12-2025,178,seasonal_naive
SKU003,28-12-2025,157,seasonal_naive
SKU003,04-01-2026,31,seasonal_naive
SKU003,11-01-2026,150,seasonal_naive
SKU004,21-12-2025,171,seasonal_naive
SKU004,28-12-2025,171,seasonal_naive
SKU004,04-01-2026,171,seasonal_naive
SKU004,11-01-2026,171,seasonal_naive
SKU005,21-12-2025,55,seasonal_naive
SKU005,28-12-2025,55,seasonal_naive
SKU005,04-01-2026,55,seasonal_naive
SKU005,11-01-2026,55,seasonal_naive
SKU006,21-12-2025,85,seasonal_naive
SKU006,28-12-2025,38,seasonal_naive
SKU006,04-01-2026,69,seasonal_naive
SKU006,11-01-2026,80,seasonal_naive
SKU007,21-12-2025,152,seasonal_naive
SKU007,28-12-2025,152,seasonal_naive
SKU007,04-01-2026,152,seasonal_naive
SKU007,11-01-2026,152,seasonal_naive
SKU008,21-12-2025,270,seasonal_naive
SKU008,28-12-2025,102,seasonal_naive
SKU008,04-01-2026,195,seasonal_naive
SKU008,11-01-2026,181,seasonal_naive
SKU009,21-12-2025,152,seasonal_naive
SKU009,28-12-2025,157,seasonal_naive
SKU009,04-01-2026,29,seasonal_naive
SKU009,11-01-2026,127,seasonal_naive
SKU010,21-12-2025,76,seasonal_naive
SKU010,28-12-2025,76,seasonal_naive
SKU010,04-01-2026,76,seasonal_naive
SKU010,11-01-2026,76,seasonal_naive
SKU011,21-12-2025,167,seasonal_naive
SKU011,28-12-2025,167,seasonal_naive
SKU011,04-01-2026,167,seasonal_naive
SKU011,11-01-2026,167,seasonal_naive
SKU012,21-12-2025,180,seasonal_naive
SKU012,28-12-2025,180,seasonal_naive
SKU012,04-01-2026,180,seasonal_naive
SKU012,11-01-2026,180,seasonal_naive
SKU013,21-12-2025,67,seasonal_naive
SKU013,28-12-2025,67,seasonal_naive
SKU013,04-01-2026,67,seasonal_naive
SKU013,11-01-2026,67,seasonal_naive
SKU014,21-12-2025,100,seasonal_naive
SKU014,28-12-2025,100,seasonal_naive
SKU014,04-01-2026,100,seasonal_naive
SKU014,11-01-2026,100,seasonal_naive
SKU015,21-12-2025,141,seasonal_naive
SKU015,28-12-2025,133,seasonal_naive
SKU015,04-01-2026,30,seasonal_naive
SKU015,11-01-2026,106,seasonal_naive
SKU016,21-12-2025,136,seasonal_naive
SKU016,28-12-2025,136,seasonal_naive
SKU016,04-01-2026,136,seasonal_naive
SKU016,11-01-2026,136,seasonal_naive
SKU017,21-12-2025,150,seasonal_naive
SKU017,28-12-2025,45,seasonal_naive
SKU017,04-01-2026,97,seasonal_naive
SKU017,11-01-2026,105,seasonal_naive
SKU018,21-12-2025,120,seasonal_naive
SKU018,28-12-2025,42,seasonal_naive
SKU018,04-01-2026,65,seasonal_naive
SKU018,11-01-2026,94,seasonal_naive
SKU019,21-12-2025,53,seasonal_naive
SKU019,28-12-2025,32,seasonal_naive
SKU019,04-01-2026,64,seasonal_naive
SKU019,11-01-2026,11,seasonal_naive
SKU020,21-12-2025,7,seasonal_naive
SKU020,28-12-2025,54,seasonal_naive
SKU020,04-01-2026,15,seasonal_naive
SKU020,11-01-2026,34,seasonal_naive
SKU021,21-12-2025,227,seasonal_naive
SKU021,28-12-2025,227,seasonal_naive
SKU021,04-01-2026,227,seasonal_naive
SKU021,11-01-2026,227,seasonal_naive
SKU022,21-12-2025,216,seasonal_naive
SKU022,28-12-2025,216,seasonal_naive
SKU022,04-01-2026,216,seasonal_naive
SKU022,11-01-2026,216,seasonal_naive
SKU023,21-12-2025,99,seasonal_naive
SKU023,28-12-2025,99,seasonal_naive
SKU023,04-01-2026,99,seasonal_naive
SKU023,11-01-2026,99,seasonal_naive
SKU024,21-12-2025,237,seasonal_naive
SKU024,28-12-2025,237,seasonal_naive
SKU024,04-01-2026,237,seasonal_naive
SKU024,11-01-2026,237,seasonal_naive
SKU025,21-12-2025,151,seasonal_naive
SKU025,28-12-2025,151,seasonal_naive
SKU025,04-01-2026,151,seasonal_naive
SKU025,11-01-2026,151,seasonal_naive
SKU026,21-12-2025,117,seasonal_naive
SKU026,28-12-2025,117,seasonal_naive
SKU026,04-01-2026,117,seasonal_naive
SKU026,11-01-2026,117,seasonal_naive
SKU027,21-12-2025,171,seasonal_naive
SKU027,28-12-2025,54,seasonal_naive
SKU027,04-01-2026,113,seasonal_naive
SKU027,11-01-2026,121,seasonal_naive
SKU028,21-12-2025,45,seasonal_naive
SKU028,28-12-2025,45,seasonal_naive
SKU028,04-01-2026,45,seasonal_naive
SKU028,11-01-2026,45,seasonal_naive
SKU029,21-12-2025,18,seasonal_naive
SKU029,28-12-2025,43,seasonal_naive
SKU029,04-01-2026,48,seasonal_naive
SKU029,11-01-2026,32,seasonal_naive
SKU030,21-12-2025,146,seasonal_naive
SKU030,28-12-2025,146,seasonal_naive
SKU030,04-01-2026,146,seasonal_naive
SKU030,11-01-2026,146,seasonal_naive
SKU031,21-12-2025,157,seasonal_naive
SKU031,28-12-2025,167,seasonal_naive
SKU031,04-01-2026,26,seasonal_naive
SKU031,11-01-2026,127,seasonal_naive
SKU032,21-12-2025,79,seasonal_naive
SKU032,28-12-2025,79,seasonal_naive
SKU032,04-01-2026,79,seasonal_naive
SKU032,11-01-2026,79,seasonal_naive
SKU033,21-12-2025,233,seasonal_naive
SKU033,28-12-2025,233,seasonal_naive
SKU033,04-01-2026,233,seasonal_naive
SKU033,11-01-2026,233,seasonal_naive
SKU034,21-12-2025,249,seasonal_naive
SKU034,28-12-2025,34,seasonal_naive
SKU034,04-01-2026,203,seasonal_naive
SKU034,11-01-2026,76,seasonal_naive
SKU035,21-12-2025,54,seasonal_naive
SKU035,28-12-2025,65,seasonal_naive
SKU035,04-01-2026,12,seasonal_naive
SKU035,11-01-2026,44,seasonal_naive
SKU036,21-12-2025,240,seasonal_naive
SKU036,28-12-2025,246,seasonal_naive
SKU036,04-01-2026,50,seasonal_naive
SKU036,11-01-2026,207,seasonal_naive
SKU037,21-12-2025,314,seasonal_naive
SKU037,28-12-2025,56,seasonal_naive
SKU037,04-01-2026,252,seasonal_naive
SKU037,11-01-2026,106,seasonal_naive
SKU038,21-12-2025,227,seasonal_naive
SKU038,28-12-2025,227,seasonal_naive
SKU038,04-01-2026,227,seasonal_naive
SKU038,11-01-2026,227,seasonal_naive
SKU039,21-12-2025,6,seasonal_naive
SKU039,28-12-2025,50,seasonal_naive
SKU039,04-01-2026,15,seasonal_naive
SKU039,11-01-2026,29,seasonal_naive
SKU040,21-12-2025,205,seasonal_naive
SKU040,28-12-2025,205,seasonal_naive
SKU040,04-01-2026,205,seasonal_naive
SKU040,11-01-2026,205,seasonal_naive
SKU041,21-12-2025,174,seasonal_naive
SKU041,28-12-2025,179,seasonal_naive
SKU041,04-01-2026,28,seasonal_naive
SKU041,11-01-2026,136,seasonal_naive
SKU042,21-12-2025,171,seasonal_naive
SKU042,28-12-2025,171,seasonal_naive
SKU042,04-01-2026,171,seasonal_naive
SKU042,11-01-2026,171,seasonal_naive
SKU043,21-12-2025,245,seasonal_naive
SKU043,28-12-2025,245,seasonal_naive
SKU043,04-01-2026,245,seasonal_naive
SKU043,11-01-2026,245,seasonal_naive
SKU044,21-12-2025,182,seasonal_naive
SKU044,28-12-2025,182,seasonal_naive
SKU044,04-01-2026,182,seasonal_naive
SKU044,11-01-2026,182,seasonal_naive
SKU045,21-12-2025,198,seasonal_naive
SKU045,28-12-2025,198,seasonal_naive
SKU045,04-01-2026,198,seasonal_naive
SKU045,11-01-2026,198,seasonal_naive
SKU046,21-12-2025,198,seasonal_naive
SKU046,28-12-2025,198,seasonal_naive
