date,sku_id,units_sold,revenue,unit_price,promo_flag
2024-01-04,SKU092,8,53319.6,6664.95,0
2024-01-05,SKU077,14,68570.88,4897.92,0
2024-01-05,SKU092,8,52337.6,6542.2,0
2024-01-06,SKU063,19,48941.53,2575.87,0
2024-01-06,SKU077,17,82391.35,4846.55,0
2024-01-06,SKU092,9,59314.32,6590.48,0
2024-01-07,SKU063,27,69495.84,2573.92,0
2024-01-07,SKU077,18,90691.74,5038.43,0
2024-01-07,SKU092,10,66135.1,6613.51,0
2024-01-08,SKU063,21,53740.05,2559.05,0
2024-01-08,SKU077,17,81534.04,4796.12,0
2024-01-08,SKU092,7,47521.53,6788.79,0
2024-01-09,SKU019,10,57862.8,5786.28,0
2024-01-09,SKU051,38,112741.06,2966.87,0
2024-01-09,SKU063,22,57085.6,2594.8,0
2024-01-09,SKU077,13,63173.5,4859.5,0
2024-01-09,SKU092,11,72173.42,6561.22,0
2024-01-10,SKU019,8,44786.8,5598.35,0
2024-01-10,SKU051,38,113701.7,2992.15,0
2024-01-10,SKU063,26,66203.8,2546.3,0
2024-01-10,SKU077,15,72687.45,4845.83,0
2024-01-10,SKU092,6,40576.2,6762.7,0
2024-01-11,SKU019,9,50383.35,5598.15,0
2024-01-11,SKU051,30,91906.8,3063.56,0
2024-01-11,SKU063,23,61224.16,2661.92,0
2024-01-11,SKU077,13,65359.45,5027.65,0
2024-01-11,SKU092,8,54544.64,6818.08,0
2024-01-12,SKU019,9,51086.79,5676.31,0
2024-01-12,SKU051,47,142852.27,3039.41,0
2024-01-12,SKU063,30,76593.9,2553.13,0
2024-01-12,SKU077,14,69236.58,4945.47,0
2024-01-12,SKU092,9,61778.7,6864.3,0
2024-01-13,SKU019,10,57011.1,5701.11,0
2024-01-13,SKU051,44,132882.64,3020.06,0
2024-01-13,SKU063,27,71956.62,2665.06,0
2024-01-13,SKU077,20,99733.2,4986.66,0
2024-01-13,SKU092,10,65766.7,6576.67,0
2024-01-14,SKU019,13,73579.74,5659.98,0
2024-01-14,SKU051,39,116725.83,2992.97,0
2024-01-14,SKU063,26,67430.74,2593.49,0
2024-01-14,SKU077,14,67090.24,4792.16,0
2024-01-14,SKU092,10,66768.9,6676.89,0
2024-01-15,SKU019,9,50124.87,5569.43,0
2024-01-15,SKU051,36,107320.68,2981.13,0
2024-01-15,SKU063,26,67250.56,2586.56,0
2024-01-15,SKU077,16,78666.56,4916.66,0
2024-01-15,SKU092,9,58826.07,6536.23,0
2024-01-16,SKU019,7,39945.29,5706.47,0
2024-01-16,SKU051,41,124179.98,3028.78,0
2024-01-16,SKU063,22,57043.8,2592.9,0
2024-01-16,SKU077,11,53834.77,4894.07,0
2024-01-16,SKU092,9,60829.56,6758.84,0
2024-01-17,SKU019,10,55722.7,5572.27,0
2024-01-17,SKU051,47,141179.07,3003.81,0
2024-01-17,SKU062,38,317157.12,8346.24,0
2024-01-17,SKU063,20,50965.0,2548.25,0
2024-01-17,SKU077,15,73150.2,4876.68,0
2024-01-17,SKU092,10,65897.1,6589.71,0
2024-01-18,SKU019,9,52295.94,5810.66,0
2024-01-18,SKU051,46,141992.8,3086.8,0
2024-01-18,SKU062,34,281453.36,8278.04,0
2024-01-18,SKU063,30,80358.0,2678.6,0
2024-01-18,SKU077,17,82096.91,4829.23,0
2024-01-18,SKU092,6,39555.24,6592.54,0
2024-01-19,SKU019,9,50800.23,5644.47,0
